Id,Prediction
1,4
2,4
3,3
4,7
5,1
6,4
7,3
8,3
9,1
10,6
11,3
12,2
13,1
14,3
15,5
16,8
17,1
18,9
19,2
20,8
21,8
22,9
23,2
24,5
25,4
26,2
27,6
28,6
29,2
30,5
31,9
32,5
33,7
34,4
35,1
36,3
37,8
38,4
39,1
40,5
41,4
42,7
43,5
44,8
45,8
46,2
47,2
48,8
49,6
50,1
51,9
52,5
53,5
54,6
55,7
56,8
57,4
58,1
59,7
60,3
61,8
62,4
63,8
64,2
65,2
66,8
67,1
68,7
69,7
70,4
71,4
72,9
73,4
74,4
75,2
76,3
77,3
78,9
79,3
80,3
81,4
82,7
83,2
84,8
85,1
86,5
87,1
88,7
89,7
90,2
91,7
92,6
93,8
94,6
95,9
96,4
97,4
98,5
99,3
100,9
101,5
102,3
103,4
104,7
105,4
106,2
107,8
108,6
109,4
110,2
111,2
112,5
113,4
114,7
115,1
116,8
117,7
118,2
119,8
120,2
121,6
122,5
123,2
124,1
125,7
126,7
127,4
128,1
129,6
130,2
131,7
132,5
133,3
134,9
135,7
136,8
137,1
138,2
139,7
140,7
141,7
142,5
143,4
144,6
145,8
146,7
147,5
148,3
149,7
150,4
151,6
152,8
153,8
154,9
155,9
156,8
157,1
158,1
159,1
160,3
161,1
162,4
163,4
164,5
165,9
166,3
167,4
168,8
169,4
170,2
171,5
172,8
173,4
174,7
175,6
176,5
177,5
178,9
179,1
180,3
181,5
182,6
183,8
184,5
185,4
186,7
187,5
188,8
189,5
190,5
191,5
192,3
193,1
194,1
195,8
196,3
197,8
198,7
199,8
200,9
201,2
202,4
203,9
204,6
205,9
206,5
207,1
208,6
209,3
210,5
211,7
212,6
213,6
214,4
215,3
216,4
217,1
218,6
219,9
220,1
221,1
222,8
223,3
224,1
225,8
226,2
227,8
228,1
229,4
230,6
231,6
232,7
233,6
234,4
235,2
236,7
237,3
238,6
239,8
240,1
241,9
242,1
243,8
244,8
245,1
246,5
247,9
248,3
249,8
250,6
251,8
252,8
253,1
254,3
255,6
256,5
257,9
258,7
259,6
260,3
261,3
262,8
263,5
264,8
265,1
266,8
267,1
268,9
269,9
270,5
271,2
272,2
273,7
274,8
275,1
276,7
277,9
278,4
279,6
280,4
281,2
282,8
283,7
284,3
285,6
286,4
287,1
288,1
289,5
290,3
291,4
292,3
293,2
294,4
295,7
296,2
297,6
298,4
299,4
300,2
301,2
302,6
303,3
304,6
305,9
306,7
307,7
308,9
309,7
310,6
311,9
312,1
313,3
314,9
315,7
316,5
317,7
318,4
319,4
320,2
321,4
322,1
323,5
324,4
325,9
326,5
327,8
328,4
329,5
330,8
331,9
332,5
333,9
334,7
335,6
336,9
337,8
338,9
339,6
340,4
341,5
342,9
343,1
344,2
345,5
346,5
347,1
348,6
349,9
350,1
351,4
352,3
353,9
354,6
355,3
356,2
357,5
358,8
359,8
360,8
361,2
362,5
363,8
364,2
365,8
366,9
367,2
368,1
369,5
370,8
371,5
372,4
